Date,000001.SS,ES=F,NQ=F,YM=F,ZT=F,^125904-USD-STRD,^AXJO,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^IBEX,^IXIC,^KS11,^MERV,^MXX,^N225,^NZ50,^RUT,^VIX
2025-03-24,3370.028076171875,5815.5,20374.25,42898.0,103.3046875,2260.110107421875,7936.89990234375,77984.3828125,131321.0,42583.3203125,8022.330078125,8638.0,22852.66015625,5767.56982421875,25304.099609375,23905.560546875,13323.2998046875,18188.58984375,2632.070068359375,,52674.83984375,37608.48828125,12128.2099609375,2109.3798828125,17.479999542236328
2025-03-25,3369.97607421875,5826.5,20488.5,42906.0,103.37109375,2276.64990234375,7942.5,78017.1875,132068.0,42587.5,8108.58984375,8663.7998046875,23109.7890625,5776.64990234375,25339.5,23344.25,13484.2998046875,18271.859375,2615.81005859375,2487680.0,53203.26171875,37780.5390625,12184.509765625,2095.3798828125,17.149999618530273
2025-03-26,3368.697021484375,5759.5,20116.5,42746.0,103.31640625,2255.8798828125,7999.0,77288.5,132520.0,42454.7890625,8030.68017578125,8689.599609375,22839.029296875,5712.2001953125,25161.099609375,23483.3203125,13432.2001953125,17899.01953125,2643.93994140625,2439966.0,52806.890625,38027.2890625,12334.1796875,2073.830078125,18.329999923706055
2025-03-27,3373.7490234375,5739.25,19990.25,42602.0,103.33984375,2249.56005859375,7969.0,77606.4296875,133149.0,42299.69921875,7990.10986328125,8666.099609375,22678.740234375,5693.31005859375,25161.099609375,23578.80078125,13422.599609375,17804.029296875,2607.14990234375,2412082.0,53477.73828125,37799.96875,12312.6904296875,2065.699951171875,18.690000534057617
2025-03-28,3351.306884765625,5623.0,19457.0,41851.0,103.47265625,2237.47998046875,7982.0,77414.921875,131902.0,41583.8984375,7916.080078125,8658.900390625,22461.51953125,5580.93994140625,24759.19921875,23426.599609375,13309.2998046875,17322.990234375,2557.97998046875,2378563.0,53172.96875,37120.328125,12287.4599609375,2023.27001953125,21.649999618530273
2025-03-31,3335.74609375,5653.25,19439.5,42259.0,103.53515625,2200.340087890625,7843.39990234375,,130260.0,42001.76171875,7790.7099609375,8582.7998046875,22163.490234375,5611.85009765625,24917.5,23119.580078125,13135.400390625,17299.2890625,2481.1201171875,2338761.0,52484.4296875,35617.55859375,12245.5,2011.9100341796875,22.280000686645508
2025-04-01,3348.43505859375,5674.5,19604.5,42241.0,103.67578125,2225.31005859375,7925.2001953125,76024.5078125,131147.0,41989.9609375,7876.35986328125,8634.7998046875,22539.98046875,5633.06982421875,25033.30078125,23206.83984375,13297.0,17449.890625,2521.389892578125,2356531.0,53337.8984375,35624.48046875,12312.599609375,2012.239990234375,21.770000457763672
2025-04-02,3350.126953125,5712.25,19758.0,42492.0,103.59765625,2223.219970703125,7934.5,76617.4375,131190.0,42225.3203125,7858.830078125,8608.5,22390.83984375,5670.97021484375,25307.19921875,23202.529296875,13350.2001953125,17601.05078125,2505.860107421875,,53800.9296875,35725.87109375,12320.1904296875,2045.3599853515625,21.510000228881836
2025-04-03,3342.008056640625,5432.75,18675.5,40776.0,103.94921875,,7859.7001953125,76295.359375,131141.0,40545.9296875,7598.97998046875,8474.7001953125,21717.390625,5396.52001953125,24335.80078125,22849.810546875,13191.2001953125,16550.609375,2486.699951171875,2275659.0,54089.28125,34735.9296875,12338.5703125,1910.550048828125,30.020000457763672
2025-04-04,,5110.25,17539.0,38530.0,104.0703125,2080.989990234375,7667.7998046875,75364.6875,127256.0,38314.859375,7274.9501953125,8055.0,20641.720703125,5074.080078125,23193.5,,12422.0,15587.7900390625,2465.419921875,2107816.0,51452.73046875,33780.578125,12225.2802734375,1827.030029296875,45.310001373291016
2025-04-07,3096.575927734375,5097.25,17563.25,38165.0,103.94140625,1976.06005859375,7343.2998046875,73137.8984375,125588.0,37965.6015625,6927.1201171875,7702.10009765625,19789.619140625,5062.25,22859.5,19828.30078125,11785.7998046875,15603.259765625,2328.199951171875,2025967.0,50458.3203125,31136.580078125,11775.8798828125,1810.1400146484375,46.97999954223633
2025-04-08,3145.549072265625,5020.25,17243.75,37862.0,103.93359375,2025.780029296875,7510.0,74227.078125,123932.0,37645.58984375,7100.419921875,7910.5,20280.259765625,4982.77001953125,22506.900390625,20127.6796875,12065.599609375,15267.91015625,2334.22998046875,1990621.0,50316.58984375,33012.578125,11891.4404296875,1760.7099609375,52.33000183105469
2025-04-09,3186.81005859375,5491.0,19288.75,40836.0,103.5078125,1980.06005859375,7375.0,73847.1484375,127796.0,40608.44921875,6863.02001953125,7679.5,19670.880859375,5456.89990234375,23727.0,20264.490234375,11797.599609375,17124.970703125,2293.699951171875,2182907.0,52527.671875,31714.029296875,11806.5498046875,1913.1600341796875,33.619998931884766
2025-04-10,3223.637939453125,5302.0,18484.5,39797.0,103.6953125,2077.2099609375,7709.60009765625,,126355.0,39593.66015625,7126.02001953125,7913.2998046875,20562.73046875,5268.0498046875,23014.900390625,20681.779296875,12307.599609375,16387.310546875,2445.06005859375,2111490.0,51514.8203125,34609.0,12201.4296875,1831.3900146484375,40.720001220703125
2025-04-11,3238.22705078125,5391.25,18807.5,40399.0,103.4921875,2104.239990234375,7646.5,75157.2578125,127682.0,40212.7109375,7104.7998046875,7964.2001953125,20374.099609375,5363.35986328125,23587.80078125,20914.689453125,12286.0,16724.4609375,2432.719970703125,2248803.0,51498.8984375,33585.578125,12019.1298828125,1860.199951171875,37.560001373291016
