Date,000001.SS,ES=F,NQ=F,YM=F,ZT=F,^125904-USD-STRD,^AXJO,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^IBEX,^IXIC,^KS11,^MERV,^MXX,^N225,^NZ50,^RUT,^VIX
2025-01-02,3262.56103515625,5916.5,21167.5,42694.0,102.8046875,1999.530029296875,8201.2001953125,79943.7109375,120125.0,42392.26953125,7393.759765625,8260.099609375,20024.66015625,5868.5498046875,24898.0,19623.3203125,11676.900390625,19280.7890625,2398.93994140625,2695646.0,49765.19921875,,,2231.669921875,17.93000030517578
2025-01-03,3211.429931640625,5989.5,21516.5,43021.0,102.74609375,1992.5799560546875,8250.5,79223.109375,118533.0,42732.12890625,7282.22021484375,8224.0,19906.080078125,5942.47021484375,25073.5,19760.26953125,11651.599609375,19621.6796875,2441.919921875,2728911.0,48957.23828125,,13067.830078125,2268.469970703125,16.1299991607666
2025-01-06,3206.923095703125,6020.5,21744.5,42982.0,102.76171875,2032.1800537109375,8288.5,77964.9921875,120022.0,42706.55859375,7445.68994140625,8249.7001953125,20216.189453125,5975.3798828125,24999.80078125,19688.2890625,11808.2001953125,19864.98046875,2488.639892578125,2801221.0,49493.55859375,39307.05078125,13047.23046875,2266.64990234375,16.040000915527344
2025-01-07,3229.64404296875,5954.25,21359.75,42803.0,102.71484375,2034.949951171875,8285.099609375,78199.109375,121163.0,42528.359375,7489.35009765625,8245.2998046875,20340.5703125,5909.02978515625,24929.900390625,19447.580078125,11811.900390625,19489.6796875,2492.10009765625,2822175.0,50085.5,40083.30078125,13013.51953125,2249.800048828125,17.81999969482422
2025-01-08,3230.16796875,5959.25,21360.75,42878.0,102.73046875,2018.6400146484375,8349.099609375,78148.4921875,119625.0,42635.19921875,7452.419921875,8251.0,20329.939453125,5918.25,25051.69921875,19279.83984375,11798.099609375,19478.880859375,2521.050048828125,2782477.0,49634.26171875,39981.05859375,13011.91015625,2238.9599609375,17.700000762939453
2025-01-09,3211.39306640625,5944.75,21301.5,42822.0,102.78125,2027.3399658203125,8329.2001953125,77620.2109375,119781.0,,7490.27978515625,8319.7001953125,20317.099609375,,25073.400390625,19240.890625,11899.2998046875,,2521.89990234375,2829730.0,49807.9609375,39605.08984375,12940.3095703125,,
2025-01-10,3168.52392578125,5866.25,21016.0,42160.0,102.51171875,2000.4300537109375,8294.099609375,77378.90625,118856.0,41938.44921875,7431.0400390625,8248.5,20214.7890625,5827.0400390625,24767.69921875,19064.2890625,11720.900390625,19161.630859375,2515.780029296875,2805140.0,49596.69921875,39190.3984375,12895.98046875,2189.22998046875,19.540000915527344
2025-01-13,3160.7548828125,5874.5,20947.25,42523.0,102.50390625,1979.8800048828125,8191.89990234375,76330.0078125,119007.0,42297.12109375,7408.64013671875,8224.2001953125,20132.849609375,5836.22021484375,24536.30078125,18874.140625,11688.2001953125,19088.099609375,2489.56005859375,2655179.0,49829.96875,,12808.830078125,2194.39990234375,19.190000534057617
2025-01-14,3240.93994140625,5882.25,20919.5,42752.0,102.56640625,1997.1700439453125,8231.0,76499.6328125,119299.0,42518.28125,7423.669921875,8201.5,20271.330078125,5842.91015625,24588.599609375,19219.779296875,11752.099609375,19044.390625,2497.39990234375,2733273.0,49844.0,38474.30078125,12884.3798828125,2219.239990234375,18.709999084472656
2025-01-15,3227.116943359375,5989.0,21400.25,43466.0,102.75390625,2024.8599853515625,8213.2998046875,76724.078125,122650.0,43221.55078125,7474.58984375,8301.099609375,20574.6796875,5949.91015625,24789.30078125,19286.0703125,11898.5,19511.23046875,2496.81005859375,2704474.0,50242.83984375,38444.578125,12941.75,2263.2900390625,16.1200008392334
2025-01-16,3236.031982421875,5975.5,21249.75,43372.0,102.8046875,2044.1600341796875,8327.0,77042.8203125,121234.0,43153.12890625,7634.740234375,8391.900390625,20655.390625,5937.33984375,24846.19921875,19522.890625,11840.599609375,19338.2890625,2527.489990234375,2629377.0,49948.1484375,38572.6015625,13004.2197265625,2266.7900390625,16.600000381469727
2025-01-17,3241.821044921875,6033.5,21594.75,43695.0,102.734375,2057.659912109375,8310.400390625,76619.328125,122350.0,43487.828125,7709.75,8505.2001953125,20903.390625,5996.66015625,25067.900390625,19584.060546875,11916.2998046875,19630.19921875,2523.550048828125,2510886.0,49940.890625,38451.4609375,13130.4296875,2275.8798828125,15.970000267028809
2025-01-20,3244.3779296875,,,,,,8402.0,77073.4375,122543.0,,7733.5,8520.5,20990.310546875,,25130.80078125,19925.810546875,11943.599609375,,2520.050048828125,2536837.0,50201.3203125,38902.5,13025.2900390625,,
2025-01-21,3242.623046875,6084.25,21709.5,44238.0,102.7265625,2086.1298828125,8420.2998046875,75838.359375,123338.0,44025.80859375,7770.9501953125,8548.2998046875,21042.0,6049.240234375,25281.599609375,20106.55078125,11927.400390625,19756.779296875,2518.030029296875,2619719.0,50450.26171875,39027.98046875,13066.650390625,2317.969970703125,15.0600004196167
2025-01-22,3213.6240234375,6120.5,22000.5,44353.0,102.69921875,2098.090087890625,8429.7998046875,76404.9921875,122972.0,44156.73046875,7837.39990234375,8545.099609375,21254.26953125,6086.3701171875,25311.5,19778.76953125,11882.7001953125,20009.33984375,2547.06005859375,2680946.0,50944.578125,39646.25,13050.400390625,2303.719970703125,15.100000381469727
2025-01-23,3230.1640625,6152.0,22038.25,44749.0,102.7265625,2102.679931640625,8378.7001953125,76520.3828125,122483.0,44565.0703125,7892.60986328125,8565.2001953125,21411.529296875,6118.7099609375,25434.099609375,19700.560546875,11991.5,20053.6796875,2515.489990234375,2625050.0,51054.91015625,39958.87109375,13038.759765625,2314.60009765625,15.020000457763672
2025-01-24,3252.6259765625,6133.25,21911.25,44602.0,102.75390625,2126.530029296875,8408.900390625,76190.4609375,122447.0,44424.25,7927.6201171875,8502.400390625,21394.9296875,6101.240234375,25468.5,20066.189453125,11982.599609375,19954.30078125,2536.800048828125,2566082.0,51357.30859375,39931.98046875,13024.7001953125,2307.739990234375,14.850000381469727
2025-01-27,3250.60107421875,6046.75,21258.5,44904.0,102.90625,2121.81005859375,,75366.171875,124862.0,44713.578125,7906.580078125,8503.7001953125,21282.1796875,6012.27978515625,25289.19921875,20197.76953125,11997.099609375,19341.830078125,,2439099.0,51687.44921875,39565.80078125,12922.3203125,2284.02001953125,17.899999618530273
2025-01-28,,6097.0,21581.75,45031.0,102.88671875,2114.25,8399.099609375,75901.40625,124056.0,44850.3515625,7897.3701171875,8533.900390625,21430.580078125,6067.7001953125,25419.5,20225.109375,12154.2001953125,19733.58984375,,2435629.0,51535.9609375,39016.87109375,12966.3095703125,2288.860107421875,16.40999984741211
