Date,000001.SS,ES=F,NQ=F,YM=F,ZT=F,^125904-USD-STRD,^AXJO,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^IBEX,^IXIC,^KS11,^MERV,^MXX,^N225,^NZ50,^RUT,^VIX
2025-02-27,3388.06201171875,5876.25,20605.75,43297.0,103.0625,2216.300048828125,8268.2001953125,74612.4296875,124799.0,43239.5,8102.52001953125,8756.2001953125,22550.890625,5861.56982421875,25128.19921875,23718.2890625,13270.599609375,18544.419921875,2621.75,2193657.0,52607.609375,38256.171875,12553.0,2139.659912109375,21.1299991607666
2025-02-28,3320.89697265625,5963.25,20919.5,43889.0,103.2265625,2215.0400390625,8172.39990234375,73198.1015625,122799.0,43840.91015625,8111.6298828125,8809.7001953125,22551.4296875,5954.5,25393.5,22941.3203125,13347.2998046875,18847.279296875,2532.780029296875,2205801.0,52325.73046875,37155.5,12601.419921875,2163.070068359375,19.6299991607666
2025-03-03,3316.925048828125,5860.75,20468.25,43247.0,103.25,2256.89990234375,8245.7001953125,73085.9375,,43191.23828125,8199.7099609375,8871.2998046875,23147.01953125,5849.72021484375,25001.599609375,23006.26953125,13373.099609375,18350.189453125,,,52081.58984375,37785.46875,12386.580078125,2102.239990234375,22.780000686645508
2025-03-04,3324.2099609375,5789.5,20399.0,42594.0,103.3046875,2218.739990234375,8198.099609375,72989.9296875,,42520.98828125,8047.919921875,8759.0,22326.810546875,5778.14990234375,24572.0,22941.76953125,13031.7001953125,18285.16015625,2528.919921875,,52384.71875,37331.1796875,12435.2001953125,2079.530029296875,23.510000228881836
2025-03-05,3341.965087890625,5851.25,20665.0,43066.0,103.26171875,2286.580078125,8141.10009765625,73730.2265625,123047.0,43006.58984375,8173.75,8755.7998046875,23081.029296875,5842.6298828125,24870.80078125,23594.2109375,13214.0,18552.73046875,2558.1298828125,2290050.0,52709.3984375,37418.23828125,12385.349609375,2100.75,21.93000030517578
2025-03-06,3381.097900390625,5746.25,20089.25,42616.0,103.32421875,2294.39990234375,8094.7001953125,74340.09375,123358.0,42579.078125,8197.669921875,8682.7998046875,23419.48046875,5738.52001953125,24584.0,24369.7109375,13234.2001953125,18069.259765625,2576.159912109375,2270181.0,52816.4296875,37704.9296875,12387.2197265625,2066.550048828125,24.8700008392334
2025-03-07,3372.5458984375,5776.0,20229.75,42838.0,103.25390625,2294.5,7948.2001953125,74332.578125,125035.0,42801.71875,8120.7998046875,8679.900390625,23008.939453125,5770.2001953125,24758.80078125,24231.30078125,13257.099609375,18196.220703125,2563.47998046875,2262289.0,52839.62890625,36887.171875,12399.7802734375,2075.47998046875,23.3700008392334
2025-03-10,3366.1630859375,5620.75,19452.75,41947.0,103.46484375,2257.610107421875,7962.2998046875,74115.171875,124519.0,41911.7109375,8047.60009765625,8600.2001953125,22620.94921875,5614.56005859375,24380.69921875,23783.490234375,13082.7001953125,17468.3203125,2570.389892578125,2138846.0,51726.87890625,37028.26953125,12515.9697265625,2019.0699462890625,27.860000610351562
2025-03-11,3379.827880859375,5577.0,19399.0,41475.0,103.3984375,2236.97998046875,7890.10009765625,74102.3203125,123507.0,41433.48046875,7941.91015625,8496.0,22328.76953125,5572.06982421875,24248.19921875,23782.140625,12877.2998046875,17436.099609375,2537.60009765625,2159500.0,51510.6796875,36793.109375,12410.9697265625,2023.5899658203125,26.920000076293945
2025-03-12,3371.924072265625,5604.75,19618.5,41395.0,103.30859375,2254.27001953125,7786.2001953125,74029.7578125,123864.0,41350.9296875,7988.9599609375,8541.0,22676.41015625,5599.2998046875,24423.30078125,23600.310546875,12804.0,17648.44921875,2574.820068359375,2272937.0,52041.01171875,36819.08984375,12249.5498046875,2026.469970703125,24.229999542236328
